ENTREZ_GENE_ID	HUGO_GENE_SYMBOL
-28451	ABCE1_PY573
23	ABCF1
107986587	ABCF1-DT
-90978	ABCF1_PS105
-32269	ABCF1_PS105_S109
-24237	ABCF1_PS105_T108
-41871	ABCF1_PS105_T108_S109
-3359	ABCF1_PS109
-55023	ABCF1_PS140
-39944	ABCF1_PS166
-90979	ABCF1_PS22
-3360	ABCF1_PS228
-40708	ABCF1_PS285
-40707	ABCF1_PS287
-53737	ABCF1_PS595
-90980	ABCF1_PS621
-3358	ABCF1_PT108
-51848	ABCF1_PT108_S109
-30818	ABCF1_PY250
10061	ABCF2
344653	ABCF2P1
100422059	ABCF2P2
-77257	ABCF2_PS3
-43751	ABCF2_PT218
55324	ABCF3
-61612	ABCF3_PS115
-33569	ABCF3_PS155
-46132	ABCF3_PS157
-15916	ABCF3_PS161
-29021	ABCF3_PS283
-63823	ABCF3_PS415
-42037	ABCF3_PS452
-20705	ABCF3_PS83
-23419	ABCF3_PY206
-19618	ABCF3_PY69_T71
9619	ABCG1
9429	ABCG2
64137	ABCG4
64240	ABCG5
64241	ABCG8
84696	ABHD1
55347	ABHD10
-27963	ABHD10_PS233
83451	ABHD11
171022	ABHD11-AS1
26090	ABHD12
145447	ABHD12B
84945	ABHD13
25864	ABHD14A
100526760	ABHD14A-ACY1
84836	ABHD14B
116236	ABHD15
104355133	ABHD15-AS1
-24097	ABHD15_PS434
-89598	ABHD15_PS452
7920	ABHD16A
-83620	ABHD16A_PS29
-83621	ABHD16A_PS30
-16640	ABHD16A_PT32
-16641	ABHD16A_PT34
-16642	ABHD16A_PT37
140701	ABHD16B
81926	ABHD17A
728917	ABHD17AP1
648359	ABHD17AP3
729495	ABHD17AP4
91219	ABHD17AP5
644988	ABHD17AP6
100133212	ABHD17AP7
647144	ABHD17AP8
100132251	ABHD17AP9
51104	ABHD17B
58489	ABHD17C
80167	ABHD18
11057	ABHD2
171586	ABHD3
63874	ABHD4
51099	ABHD5
57406	ABHD6
79575	ABHD8
10006	ABI1
326268	ABI1P1
-3114	ABI1_PS183
-29887	ABI1_PS183_S187
-77313	ABI1_PS183_T191
-3115	ABI1_PS187
-3117	ABI1_PS216
-3118	ABI1_PS222
-56145	ABI1_PS222_S225
-3119	ABI1_PS225
-3121	ABI1_PS231
-49616	ABI1_PS252
-28006	ABI1_PS267
-64722	ABI1_PS278
-75777	ABI1_PS292
-63653	ABI1_PS292_S296
-3122	ABI1_PS296
-90597	ABI1_PS319
-90598	ABI1_PS323
-90599	ABI1_PS326
-90600	ABI1_PS338
-3112	ABI1_PT174
-3113	ABI1_PT178
-47571	ABI1_PT200
-21810	ABI1_PT200_T215
-54580	ABI1_PT200_Y213
-90601	ABI1_PT208
-3116	ABI1_PT215
-3120	ABI1_PT229
-62684	ABI1_PT265
-3123	ABI1_PT297
-3124	ABI1_PT298
-90602	ABI1_PT325
-73686	ABI1_PY213
-19490	ABI1_PY479
10152	ABI2
-21709	ABI2_PS177
-8660	ABI2_PS183
-47468	ABI2_PS190
-39680	ABI2_PS210
-8662	ABI2_PS216
-39686	ABI2_PS218
-47700	ABI2_PS218_T225
-25917	ABI2_PS22
-46226	ABI2_PS221
-46396	ABI2_PS221_S227
-38217	ABI2_PS221_T225
-8663	ABI2_PS224
-93988	ABI2_PS227
-93989	ABI2_PS233
-24571	ABI2_PS236
-24565	ABI2_PS238
-31932	ABI2_PS240
-31929	ABI2_PS241
-93990	ABI2_PS242
-8664	ABI2_PS246
-28077	ABI2_PS271
-38016	ABI2_PS301
-8667	ABI2_PS368
-73917	ABI2_PS469
-59750	ABI2_PT185
-8661	ABI2_PT191
-73241	ABI2_PT212
-75848	ABI2_PT294
-72882	ABI2_PT297
-8665	ABI2_PT361
-8666	ABI2_PT364
-20884	ABI2_PY235
51225	ABI3
25890	ABI3BP
-66747	ABI3BP_PS772
-90065	ABI3BP_PT762
-90066	ABI3BP_PT768
-49830	ABI3_PS197
-29135	ABI3_PS201
-29130	ABI3_PS207
-65809	ABI3_PS210
-94227	ABI3_PS342
-75969	ABI3_PT128
-60008	ABI3_PT157
-71846	ABI3_PY130
54942	ABITRAM
390403	ABITRAMP1
25	ABL1
-13115	ABL1_PS16
-83635	ABL1_PS569
-13116	ABL1_PS588
-83636	ABL1_PS620
-13117	ABL1_PS638
-13118	ABL1_PS639
-83637	ABL1_PS683
-83638	ABL1_PS690
-13119	ABL1_PS702
-31586	ABL1_PS710
-83639	ABL1_PS718
-13120	ABL1_PS737
-65610	ABL1_PS739
-83640	ABL1_PS75
-83641	ABL1_PS804
-83642	ABL1_PS805
-58389	ABL1_PT1034
-48875	ABL1_PT629_T632
-64754	ABL1_PT754
-83643	ABL1_PT779
-83644	ABL1_PT781
-34630	ABL1_PT798
-35126	ABL1_PT800
-41603	ABL1_PT833
-83645	ABL1_PT852
-69765	ABL1_PT871
-30114	ABL1_PY204
-83646	ABL1_PY393
27	ABL2
-46769	ABL2_PS56
-72518	ABL2_PS57
-50133	ABL2_PS587
-56604	ABL2_PS602
-56603	ABL2_PS603
-22377	ABL2_PS605
-55480	ABL2_PS616
-85332	ABL2_PS620
-85333	ABL2_PS631
-5328	ABL2_PS639
-74732	ABL2_PS640
-31458	ABL2_PS766
-31460	ABL2_PS768
-85334	ABL2_PS783
-32841	ABL2_PS802
-45183	ABL2_PS802_S804
-33656	ABL2_PS802_S805
-32843	ABL2_PS804
-32842	ABL2_PS805
-85335	ABL2_PS817
-85336	ABL2_PS819
-85337	ABL2_PS820
-63451	ABL2_PS851
-65826	ABL2_PS921
-85338	ABL2_PS936
-24966	ABL2_PT584
-39282	ABL2_PT649
-36516	ABL2_PT769
-40777	ABL2_PT800_S804
-64313	ABL2_PT800_S805
-31620	ABL2_PT803
-85339	ABL2_PT818
-35778	ABL2_PY65
3983	ABLIM1
-12769	ABLIM1_PS143
-12771	ABLIM1_PS147
-81124	ABLIM1_PS157
-12773	ABLIM1_PS164
-12774	ABLIM1_PS167
-12775	ABLIM1_PS177
-12778	ABLIM1_PS185
-81129	ABLIM1_PS215
-81130	ABLIM1_PS216
-12779	ABLIM1_PS263
-12780	ABLIM1_PS264
-2712	ABLIM1_PS293
-19440	ABLIM1_PS295
-19437	ABLIM1_PS296
-2713	ABLIM1_PS307
-25084	ABLIM1_PS313
-12782	ABLIM1_PS317
-12783	ABLIM1_PS321
-72067	ABLIM1_PS323
-35390	ABLIM1_PS330
-35389	ABLIM1_PS331
-12785	ABLIM1_PS332
-35392	ABLIM1_PS335
-12786	ABLIM1_PS346
-12787	ABLIM1_PS346_S354
-81131	ABLIM1_PS352
-81132	ABLIM1_PS353
-12791	ABLIM1_PS354
-81138	ABLIM1_PS367
-2714	ABLIM1_PS371
-2716	ABLIM1_PS375
-12765	ABLIM1_PS38
-12793	ABLIM1_PS383
-81125	ABLIM1_PS39
-22255	ABLIM1_PS390
-33437	ABLIM1_PS390_S394
-2718	ABLIM1_PS392
-22253	ABLIM1_PS394
-21717	ABLIM1_PS394_S399
-76793	ABLIM1_PS394_T397_S399
-2719	ABLIM1_PS395
-22258	ABLIM1_PS399
-52161	ABLIM1_PS399_S403
-12766	ABLIM1_PS40
-23226	ABLIM1_PS403
-2720	ABLIM1_PS405
-59933	ABLIM1_PS418
-62583	ABLIM1_PS418_S420
-67051	ABLIM1_PS418_S420_S423
-62584	ABLIM1_PS418_S423
-58948	ABLIM1_PS418_S426
-38390	ABLIM1_PS420
-60381	ABLIM1_PS420_S423
-81139	ABLIM1_PS422
-38391	ABLIM1_PS423
-38388	ABLIM1_PS426
-81140	ABLIM1_PS431
-75124	ABLIM1_PS433
-81141	ABLIM1_PS435
-81146	ABLIM1_PS452
-81148	ABLIM1_PS455
-81158	ABLIM1_PS458
-81159	ABLIM1_PS465
-2723	ABLIM1_PS526
-2724	ABLIM1_PS527
-34767	ABLIM1_PS554
-50411	ABLIM1_PS554_S555
-34766	ABLIM1_PS555
-81126	ABLIM1_PS57
-2726	ABLIM1_PS580
-2727	ABLIM1_PS584
-81161	ABLIM1_PS586
-81163	ABLIM1_PS587
-2729	ABLIM1_PS595
-64893	ABLIM1_PS599
-59087	ABLIM1_PS600
-59091	ABLIM1_PS608
-27690	ABLIM1_PS608_S612
-2730	ABLIM1_PS609
-2731	ABLIM1_PS609_S617
-2735	ABLIM1_PS617
-44066	ABLIM1_PS623
-22308	ABLIM1_PS623_S637
-39230	ABLIM1_PS637
-25918	ABLIM1_PS637_S645
-25805	ABLIM1_PS637_Y643
-58173	ABLIM1_PS637_Y646
-29019	ABLIM1_PS645
-2737	ABLIM1_PS646
-12767	ABLIM1_PS65
-81170	ABLIM1_PS655
-81172	ABLIM1_PS669
-69426	ABLIM1_PS674
-81181	ABLIM1_PS706
-12768	ABLIM1_PS79
-12770	ABLIM1_PT145
-12772	ABLIM1_PT163
-12777	ABLIM1_PT179
-12784	ABLIM1_PT330
-12788	ABLIM1_PT347
-12789	ABLIM1_PT347_S354
-81183	ABLIM1_PT349
-81206	ABLIM1_PT351
-12792	ABLIM1_PT367
-2715	ABLIM1_PT373
-2717	ABLIM1_PT391
-48243	ABLIM1_PT397
-54415	ABLIM1_PT397_S403
-63305	ABLIM1_PT401
-71688	ABLIM1_PT401_S403
-2722	ABLIM1_PT407
-26596	ABLIM1_PT419
-73022	ABLIM1_PT419_S420
-43275	ABLIM1_PT419_S420_S423
-73023	ABLIM1_PT419_S423
-73021	ABLIM1_PT419_S426
-81207	ABLIM1_PT433
-69829	ABLIM1_PT435
-81213	ABLIM1_PT467
-2728	ABLIM1_PT593
-2732	ABLIM1_PT610
-2733	ABLIM1_PT610_S617
-22313	ABLIM1_PT621
-2736	ABLIM1_PT630
-43965	ABLIM1_PT638
-42973	ABLIM1_PT638_S645
-47137	ABLIM1_PT638_Y643
-56982	ABLIM1_PT658
-81214	ABLIM1_PT670
-12776	ABLIM1_PY178
-12781	ABLIM1_PY315
-12790	ABLIM1_PY352
-40506	ABLIM1_PY382
-2721	ABLIM1_PY406
-61568	ABLIM1_PY407
-24851	ABLIM1_PY434
-2725	ABLIM1_PY578
-34011	ABLIM1_PY606
-65312	ABLIM1_PY606_S612
-2734	ABLIM1_PY615
-62084	ABLIM1_PY643
84448	ABLIM2
-74798	ABLIM2_PS142
-60225	ABLIM2_PS143
-22598	ABLIM2_PS279
-37926	ABLIM2_PS289
-33671	ABLIM2_PS290
-33673	ABLIM2_PS292
-89286	ABLIM2_PS294
-47112	ABLIM2_PS340
-89287	ABLIM2_PS346
-76094	ABLIM2_PS363
-5016	ABLIM2_PS364
-32111	ABLIM2_PS366
-54643	ABLIM2_PS382
-36529	ABLIM2_PS394
-21639	ABLIM2_PS411
-58813	ABLIM2_PS425
-89288	ABLIM2_PS446
-89289	ABLIM2_PS452
-89285	ABLIM2_PS462
-5017	ABLIM2_PS502
-53791	ABLIM2_PT291
22885	ABLIM3
-76602	ABLIM3_PS163
-32498	ABLIM3_PS277
-45347	ABLIM3_PS277_S282
-62743	ABLIM3_PS277_T279_S282
-83396	ABLIM3_PS280
-45333	ABLIM3_PS282
-14047	ABLIM3_PS372
-54586	ABLIM3_PS372_S373
-27785	ABLIM3_PS372_S373_S379
-68124	ABLIM3_PS372_S373_Y376
-54589	ABLIM3_PS372_S379
-32413	ABLIM3_PS372_Y376
-14048	ABLIM3_PS373
-24460	ABLIM3_PS373_S379
-52202	ABLIM3_PS373_Y376
-68132	ABLIM3_PS379
-56836	ABLIM3_PS388
-45791	ABLIM3_PS388_S394
-24098	ABLIM3_PS388_T390
-14049	ABLIM3_PS394
-39977	ABLIM3_PS476
-34312	ABLIM3_PS503
-32938	ABLIM3_PS503_S504
-45925	ABLIM3_PS503_S514
-14050	ABLIM3_PS504
-43064	ABLIM3_PS537
-70260	ABLIM3_PS563
-53594	ABLIM3_PS567
-76341	ABLIM3_PS576
-62901	ABLIM3_PS583
-34536	ABLIM3_PS585
-56037	ABLIM3_PS599
-35686	ABLIM3_PS599_S607
-39528	ABLIM3_PT279
-39288	ABLIM3_PT279_S282
-29547	ABLIM3_PT543
-33795	ABLIM3_PY376
-49027	ABLIM3_PY538
-57524	ABLIM3_PY560
28	ABO
29	ABR
137735	ABRA
58527	ABRACL
84142	ABRAXAS1
-89588	ABRAXAS1_PS383
-89589	ABRAXAS1_PS386
-77984	ABRAXAS1_PS386_S387
-78074	ABRAXAS1_PS386_S387_T390
-77755	ABRAXAS1_PS387
-79120	ABRAXAS1_PS404
-77974	ABRAXAS1_PS406
-78159	ABRAXAS1_PS48
-77829	ABRAXAS1_PT390
-79211	ABRAXAS1_PY403
23172	ABRAXAS2
-87929	ABRAXAS2_PS159
-78331	ABRAXAS2_PS272
-78332	ABRAXAS2_PS274
-79012	ABRAXAS2_PS280
-78434	ABRAXAS2_PS285
-78433	ABRAXAS2_PS286
-78542	ABRAXAS2_PS368
-78353	ABRAXAS2_PS368_S372
-78666	ABRAXAS2_PS368_S372_S375
-77935	ABRAXAS2_PS368_S375
-78643	ABRAXAS2_PS372
-79116	ABRAXAS2_PS372_S375
-77772	ABRAXAS2_PS372_Y377
-79041	ABRAXAS2_PS375
-78196	ABRAXAS2_PS375_Y377
-87930	ABRAXAS2_PT384
-87931	ABRAXAS2_PY377
-59176	ABR_PS209
-31184	ABR_PS242
-31880	ABR_PS246
-71583	ABR_PS279
-55435	ABR_PS53
-46666	ABR_PS72
-73977	ABR_PT210
-44189	ABR_PT247
-87134	ABR_PT30
-36492	ABR_PT55
-27509	ABR_PT605
-55609	ABR_PT642
-24363	ABR_PT74
-53738	ABR_PY49
29777	ABT1
100420695	ABT1P1
80325	ABTB1
25841	ABTB2
-19850	ABTB2_PS29
-28791	ABTB2_PS37
-32218	ABTB2_PS58
-27807	ABTB2_PS63
-58801	ABTB2_PS67
-53129	ABTB2_PS698
-66156	ABTB2_PY57
30	ACAA1
-70520	ACAA1_PS291
-25166	ACAA1_PY142
10449	ACAA2
31	ACACA
-1910	ACACA/ACACB_PS79
-2018	ACACAACACB_PS79
-32873	ACACA_PS114
-18976	ACACA_PS115
-50680	ACACA_PS115_S117
-18977	ACACA_PS117
-19624	ACACA_PS1238
-43159	ACACA_PS1238_T1249
-23305	ACACA_PS1240_T1249
-43324	ACACA_PS1241
-48465	ACACA_PS1241_T1249
-87170	ACACA_PS1259
-87171	ACACA_PS1263
-36891	ACACA_PS1296
-43021	ACACA_PS1296_S1300
-68100	ACACA_PS133
-22413	ACACA_PS141
-37521	ACACA_PS2129
-87172	ACACA_PS23
-67710	ACACA_PS2355
-31192	ACACA_PS2364
-87173	ACACA_PS25
-87174	ACACA_PS29
-48969	ACACA_PS525
-27030	ACACA_PS60
-56750	ACACA_PS60_S66
-40048	ACACA_PS62
-64130	ACACA_PS62_S66
-40051	ACACA_PS66
-55205	ACACA_PS66_S71
-76853	ACACA_PS71
-1957	ACACA_PS79
-87175	ACACA_PS80
-55115	ACACA_PS85
-39174	ACACA_PS85_S87
-41272	ACACA_PS87
-28267	ACACA_PS878
-33587	ACACA_PS93
-87176	ACACA_PS96
-52288	ACACA_PT1249
-87177	ACACA_PT1265
-56111	ACACA_PT138
-39755	ACACA_PT2360
-87178	ACACA_PT610
-74992	ACACA_PT647
-50913	ACACA_PT870
-42086	ACACA_PY1246
-18978	ACACA_PY1407
-18979	ACACA_PY1708
32	ACACB
-34377	ACACB_PS1340
-49406	ACACB_PS1360
-26477	ACACB_PS1414
-19716	ACACB_PS169
-43297	ACACB_PS192
-59676	ACACB_PS192_S195
-43296	ACACB_PS195
-41668	ACACB_PS200
-80910	ACACB_PS222
-69853	ACACB_PS246
-80911	ACACB_PS37
-2025	ACACB_PS79
-63788	ACACB_PT1342
-27082	ACACB_PT1351
-55265	ACACB_PT216
-44482	ACACB_PT243
80724	ACAD10
84129	ACAD11
27034	ACAD8
28976	ACAD9
33	ACADL
34	ACADM
-68008	ACADM_PT51
35	ACADS
36	ACADSB
37	ACADVL
-48431	ACADVL_PS489
-21088	ACADVL_PS522
176	ACAN
-84346	ACAN_PS1611
9744	ACAP1
-34751	ACAP1_PS277
-39011	ACAP1_PS371
-42026	ACAP1_PS547
-35523	ACAP1_PS554
23527	ACAP2
100874306	ACAP2-IT1
-38710	ACAP2_PS278
-87959	ACAP2_PS378
-61082	ACAP2_PS378_S384
-61088	ACAP2_PS378_S387
-87960	ACAP2_PS379
-74715	ACAP2_PS381
-19622	ACAP2_PS381_S384
-58300	ACAP2_PS381_S387
-57379	ACAP2_PS381_T382
-23127	ACAP2_PS384
-73185	ACAP2_PS384_S387
-87961	ACAP2_PS387
-31749	ACAP2_PS517
-31747	ACAP2_PS519
-13241	ACAP2_PS521
-66328	ACAP2_PS581
-87962	ACAP2_PS584
-13240	ACAP2_PT382
-40350	ACAP2_PT382_S384
-42190	ACAP2_PT455
-33707	ACAP2_PY516
116983	ACAP3
-64825	ACAP3_PS280
-24419	ACAP3_PS383
-92277	ACAP3_PS388
-40148	ACAP3_PS391
-40605	ACAP3_PS411
-70766	ACAP3_PT121
-22960	ACAP3_PT247
-35315	ACAP3_PT381
38	ACAT1
-2079	ACAT1_PS14
-74158	ACAT1_PS14_S16
39	ACAT2
64746	ACBD3
107985353	ACBD3-AS1
-93324	ACBD3_PS20
-46308	ACBD3_PS315
-46310	ACBD3_PS316
-60389	ACBD3_PS316_S320
-21291	ACBD3_PS320
-38258	ACBD3_PS321
-61355	ACBD3_PS333
-93325	ACBD3_PS344
-93326	ACBD3_PS345
-76861	ACBD3_PS43
-93327	ACBD3_PS448
-93328	ACBD3_PS450
-93329	ACBD3_PS451
-38756	ACBD3_PS47
-75501	ACBD3_PS54
-63878	ACBD3_PT18
79777	ACBD4
-19936	ACBD4_PS166
-24836	ACBD4_PS209
-68115	ACBD4_PS222
91452	ACBD5
-88852	ACBD5_PS196
-88853	ACBD5_PS200
-3765	ACBD5_PS218
-88854	ACBD5_PS262
-3766	ACBD5_PS374
-21301	ACBD5_PS397
-22233	ACBD5_PS400
-88855	ACBD5_PS418
-88856	ACBD5_PS444
-88851	ACBD5_PS49
-24368	ACBD5_PT137
-88857	ACBD5_PT263
84320	ACBD6
414149	ACBD7
108949267	ACBD7-DCLRE1CP1
84680	ACCS
390110	ACCSL
65057	ACD
-49807	ACD_PS106
-71423	ACD_PS110
-71422	ACD_PS111
-37168	ACD_PS402
-52169	ACD_PS424
-50434	ACD_PS424_S433
-50437	ACD_PS424_S435
-52168	ACD_PS425
-70850	ACD_PS425_S433
-70849	ACD_PS425_S435
-52167	ACD_PS429
-30608	ACD_PS433
-30610	ACD_PS435
1636	ACE
59272	ACE2
100129123	ACE3P
125981	ACER1
340485	ACER2
55331	ACER3
387569	ACF
43	ACHE
22985	ACIN1
-75989	ACIN1_PS1004
-57307	ACIN1_PS1091
-19712	ACIN1_PS1104
-32680	ACIN1_PS1148
-36382	ACIN1_PS1161
-72682	ACIN1_PS1219
-57486	ACIN1_PS1232
-20282	ACIN1_PS132
-94700	ACIN1_PS1329
-94701	ACIN1_PS1331
-26820	ACIN1_PS166
-28651	ACIN1_PS166_S169
-50047	ACIN1_PS166_S169_S189
-28460	ACIN1_PS166_S169_S190
-23383	ACIN1_PS166_S169_S199
-25508	ACIN1_PS166_S169_S202
-39626	ACIN1_PS166_S181
-64307	ACIN1_PS169
-6399	ACIN1_PS176
-74224	ACIN1_PS181
-74219	ACIN1_PS189
-37536	ACIN1_PS190
-52707	ACIN1_PS202
-31767	ACIN1_PS206
-31766	ACIN1_PS207
-35426	ACIN1_PS208
-94702	ACIN1_PS210
-6379	ACIN1_PS216
-61931	ACIN1_PS240
-44585	ACIN1_PS240_S243
-61928	ACIN1_PS243
-40342	ACIN1_PS256
-6401	ACIN1_PS288
-66386	ACIN1_PS295
-6403	ACIN1_PS325
-6381	ACIN1_PS328
-6404	ACIN1_PS348
-33339	ACIN1_PS350
-6383	ACIN1_PS365
-47581	ACIN1_PS384
-71167	ACIN1_PS384_S386_S388
-59199	ACIN1_PS384_S386_T393
-29953	ACIN1_PS384_S388
-22469	ACIN1_PS384_T393
-47580	ACIN1_PS386
-33458	ACIN1_PS386_S388
-47066	ACIN1_PS386_T393
-6384	ACIN1_PS388
-48931	ACIN1_PS400
-27319	ACIN1_PS410
-20270	ACIN1_PS410_T414
-33568	ACIN1_PS424
-45292	ACIN1_PS424_S434
-47992	ACIN1_PS424_S453
-42420	ACIN1_PS434
-6405	ACIN1_PS450
-57436	ACIN1_PS453
-6406	ACIN1_PS459
-72645	ACIN1_PS478
-94703	ACIN1_PS481
-94704	ACIN1_PS482
-94705	ACIN1_PS484
