ENTREZ_GENE_ID	HUGO_GENE_SYMBOL	GENETIC_ENTITY_ID	TYPE	CYTOBAND	LENGTH
-1949	STAT3_PY705	55761	phosphoprotein	17q21.31	NULL
-1948	SRC_PY527	55489	phosphoprotein	20q12-q13	NULL
-1947	SRC_PY416	55488	phosphoprotein	20q12-q13	NULL
-1946	SHC1_PY317	53599	phosphoprotein	1q21	NULL
-1945	RPS6_PS240_S244	52564	phosphoprotein	9p21	NULL
-1944	RPS6_PS235_S236	52563	phosphoprotein	9p21	NULL
-1943	RB1_PS807_S811	46428	phosphoprotein	13q14.2	NULL
-1942	AKT1S1_PT246	872	phosphoprotein	19q13.33	NULL
-1941	PRKCD_PS664	45412	phosphoprotein	3p21.31	NULL
-1940	PRKCA_PS657	45406	phosphoprotein	17q22-q23.2	NULL
-1939	PDK1_PS241	43965	phosphoprotein	2q31.1	NULL
-1938	RPS6KA1_PT359_S363	52523	phosphoprotein	1p	NULL
-1937	RPS6KB1_PT389	52532	phosphoprotein	17q23.1	NULL
-1936	MAPK14_PT180_Y182	35432	phosphoprotein	6p21.3-p21.2	NULL
-1935	CDKN1B_PT157	4436	phosphoprotein	12p13.1-p12	NULL
-1934	NFKB1_PS536	41504	phosphoprotein	4q24	NULL
-1933	MTOR_PS2448	40730	phosphoprotein	1p36.2	NULL
-1932	MAP2K1_PS217_S221	35387	phosphoprotein	15q22.1-q22.33	NULL
-1931	MAPK3_PT202_Y204	35437	phosphoprotein	16p11.2	NULL
-1930	MAPK1_PT202_Y204	35435	phosphoprotein	22q11.21	NULL
-1929	MAPK8_PT183	35452	phosphoprotein	10q11.22	NULL
-1928	ERBB3_PY1289	8316	phosphoprotein	12q13	NULL
-1927	ERBB2_PY1248	8314	phosphoprotein	17q12	NULL
-1926	GSK3B_PS21_S9	11195	phosphoprotein	3q13.3	NULL
-1925	GSK3A_PS21_S9	11192	phosphoprotein	19q13.2	NULL
-1924	ESR1_PS118	8489	phosphoprotein	6q25.1	NULL
-1923	EGFR_PY1173	7875	phosphoprotein	7p12	NULL
-1922	EGFR_PY1068	7874	phosphoprotein	7p12	NULL
-1921	CHEK2_PT68	4834	phosphoprotein	22q12.1	NULL
-1920	CHEK1_PS345	4827	phosphoprotein	11q24.2	NULL
-1919	RAF1_PS338	46289	phosphoprotein	3p25	NULL
-1918	MET_PY1235	35842	phosphoprotein	7q31	NULL
-1917	JUN_PS73	13925	phosphoprotein	1p32-p31	NULL
-1916	PRKAA1_PT172	45387	phosphoprotein	5p12	NULL
-1915	AKT3_PT308	881	phosphoprotein	1q44	NULL
-1914	AKT2_PT308	877	phosphoprotein	19q13.1-q13.2	NULL
-1913	AKT1_PT308	874	phosphoprotein	14q32.32	NULL
-1912	AKT3_PS473	880	phosphoprotein	1q44	NULL
-1911	AKT2_PS473	876	phosphoprotein	19q13.1-q13.2	NULL
-1910	AKT1_PS473	873	phosphoprotein	14q32.32	NULL
-1909	ACACB_PS79	238	phosphoprotein	12q24.11	NULL
-1908	ACACA_PS79	236	phosphoprotein	17q21	NULL
-1907	EIF4EBP1_PT37_T46	8026	phosphoprotein	8p12	NULL
-1906	EIF4EBP1_PS65	8024	phosphoprotein	8p12	NULL
-1905	MIR-99B/99B*	37895	miRNA	NULL	NULL
-1904	MIR-99B/99B	37894	miRNA	NULL	NULL
-1903	MIR-99A/99A*	37893	miRNA	NULL	NULL
-1902	MIR-99A/99A	37892	miRNA	NULL	NULL
-1901	MIR-98/98	37891	miRNA	NULL	NULL
-1900	MIR-96/96*	37890	miRNA	NULL	NULL
-1899	MIR-96/96	37889	miRNA	NULL	NULL
-1898	MIR-95/95	37888	miRNA	NULL	81
-1897	MIR-944/944	37887	miRNA	NULL	88
-1896	MIR-943/943	37886	miRNA	NULL	94
-1895	MIR-942/942	37885	miRNA	NULL	86
-1894	MIR-941-4/941	37884	miRNA	NULL	NULL
-1893	MIR-941-3/941	37883	miRNA	NULL	117
-1892	MIR-941-2/941	37882	miRNA	NULL	117
-1891	MIR-941-1/941	37881	miRNA	NULL	117
-1890	MIR-940/940	37880	miRNA	NULL	980
-1889	MIR-939/939	37879	miRNA	NULL	82
-1888	MIR-938/938	37878	miRNA	NULL	83
-1887	MIR-937/937	37877	miRNA	NULL	86
-1886	MIR-936/936	37876	miRNA	NULL	98
-1885	MIR-935/935	37875	miRNA	NULL	91
-1884	MIR-934/934	37874	miRNA	NULL	83
-1883	MIR-933/933	37873	miRNA	NULL	77
-1882	MIR-93/93*	37872	miRNA	NULL	NULL
-1881	MIR-93/93	37871	miRNA	NULL	NULL
-1880	MIR-92B/92B	37869	miRNA	NULL	NULL
-1879	MIR-92B/92B*	37870	miRNA	NULL	NULL
-1878	MIR-92A-2/92A	37868	miRNA	NULL	NULL
-1877	MIR-92A-2/2*	37867	miRNA	NULL	NULL
-1876	MIR-92A-1/92A	37866	miRNA	NULL	NULL
-1875	MIR-92A-1/1*	37865	miRNA	NULL	NULL
-1874	MIR-924/924	37864	miRNA	NULL	NULL
-1873	MIR-922/922	37863	miRNA	NULL	81
-1872	MIR-921/921	37862	miRNA	NULL	56
-1871	MIR-920/920	37861	miRNA	NULL	75
-1870	MIR-9-3/9*	37860	miRNA	NULL	NULL
-1869	MIR-9-3/9	37859	miRNA	NULL	NULL
-1868	MIR-9-2/9*	37858	miRNA	NULL	NULL
-1867	MIR-9-2/9	37857	miRNA	NULL	NULL
-1866	MIR-9-1/9*	37856	miRNA	NULL	NULL
-1865	MIR-9-1/9	37855	miRNA	NULL	NULL
-1864	MIR-892B/892B	37854	miRNA	NULL	77
-1863	MIR-892A/892A	37853	miRNA	NULL	75
-1862	MIR-891B/891B	37852	miRNA	NULL	79
-1861	MIR-891A/891A	37851	miRNA	NULL	79
-1860	MIR-890/890	37850	miRNA	NULL	77
-1859	MIR-889/889	37849	miRNA	NULL	79
-1858	MIR-888/888*	37848	miRNA	NULL	NULL
-1857	MIR-888/888	37847	miRNA	NULL	NULL
-1856	MIR-887/887	37846	miRNA	NULL	79
-1855	MIR-885/3P	37844	miRNA	NULL	NULL
-1854	MIR-885/5P	37845	miRNA	NULL	NULL
-1853	MIR-877/877*	37843	miRNA	NULL	NULL
-1852	MIR-877/877	37842	miRNA	NULL	NULL
-1851	MIR-876/3P	37840	miRNA	NULL	NULL
-1850	MIR-876/5P	37841	miRNA	NULL	NULL
-1849	MIR-875/3P	37838	miRNA	NULL	NULL
-1848	MIR-875/5P	37839	miRNA	NULL	NULL
-1847	MIR-874/874	37837	miRNA	NULL	78
-1846	MIR-873/873	37836	miRNA	NULL	77
-1845	MIR-802/802	37835	miRNA	NULL	94
-1844	MIR-770/5P	37834	miRNA	NULL	98
-1843	MIR-769/3P	37832	miRNA	NULL	NULL
-1842	MIR-769/5P	37833	miRNA	NULL	NULL
-1841	MIR-767/3P	37830	miRNA	NULL	NULL
-1840	MIR-767/5P	37831	miRNA	NULL	NULL
-1839	MIR-766/766	37829	miRNA	NULL	111
-1838	MIR-765/765	37828	miRNA	NULL	114
-1837	MIR-764/764	37827	miRNA	NULL	85
-1836	MIR-762/762	37826	miRNA	NULL	83
-1835	MIR-761/761	37825	miRNA	NULL	70
-1834	MIR-760/760	37824	miRNA	NULL	80
-1833	MIR-759/759	37823	miRNA	NULL	96
-1832	MIR-758/758	37822	miRNA	NULL	88
-1831	MIR-744/744*	37821	miRNA	NULL	NULL
-1830	MIR-744/744	37820	miRNA	NULL	NULL
-1829	MIR-720/720	37819	miRNA	NULL	110
-1828	MIR-718/718	37818	miRNA	NULL	70
-1827	MIR-711/711	37817	miRNA	NULL	76
-1826	MIR-708/708*	37816	miRNA	NULL	NULL
-1825	MIR-708/708	37815	miRNA	NULL	NULL
-1824	MIR-7-3/7	37814	miRNA	NULL	110
-1823	MIR-7-2/7	37813	miRNA	NULL	NULL
-1822	MIR-7-2/2*	37812	miRNA	NULL	NULL
-1821	MIR-7-1/1*	37810	miRNA	NULL	NULL
-1820	MIR-7-1/7	37811	miRNA	NULL	NULL
-1819	MIR-676/676	37808	miRNA	NULL	NULL
-1818	MIR-676/676*	37809	miRNA	NULL	NULL
-1817	MIR-675/675*	37807	miRNA	NULL	NULL
-1816	MIR-675/675	37806	miRNA	NULL	NULL
-1815	MIR-671/3P	37804	miRNA	NULL	NULL
-1814	MIR-671/5P	37805	miRNA	NULL	NULL
-1813	MIR-670/670	37803	miRNA	NULL	98
-1812	MIR-668/668	37802	miRNA	NULL	NULL
-1811	MIR-665/665	37801	miRNA	NULL	NULL
-1810	MIR-664/664	37799	miRNA	NULL	NULL
-1809	MIR-664/664*	37800	miRNA	NULL	NULL
-1808	MIR-663B/663B	37798	miRNA	NULL	115
-1807	MIR-663/663	37797	miRNA	NULL	NULL
-1806	MIR-662/662	37796	miRNA	NULL	95
-1805	MIR-661/661	37795	miRNA	NULL	89
-1804	MIR-660/660	37794	miRNA	NULL	97
-1803	MIR-659/659	37793	miRNA	NULL	97
-1802	MIR-658/658	37792	miRNA	NULL	100
-1801	MIR-657/657	37791	miRNA	NULL	98
-1800	MIR-656/656	37790	miRNA	NULL	78
-1799	MIR-655/655	37789	miRNA	NULL	97
-1798	MIR-654/3P	37787	miRNA	NULL	NULL
-1797	MIR-654/5P	37788	miRNA	NULL	NULL
-1796	MIR-653/653	37786	miRNA	NULL	96
-1795	MIR-652/652	37785	miRNA	NULL	98
-1794	MIR-651/651	37784	miRNA	NULL	97
-1793	MIR-650/650	37783	miRNA	NULL	96
-1792	MIR-649/649	37782	miRNA	NULL	97
-1791	MIR-648/648	37781	miRNA	NULL	94
-1790	MIR-647/647	37780	miRNA	NULL	96
-1789	MIR-646/646	37779	miRNA	NULL	94
-1788	MIR-645/645	37778	miRNA	NULL	94
-1787	MIR-644/644	37777	miRNA	NULL	NULL
-1786	MIR-643/643	37776	miRNA	NULL	97
-1785	MIR-642B/642B	37775	miRNA	NULL	NULL
-1784	MIR-642A/642A	37774	miRNA	NULL	97
-1783	MIR-641/641	37773	miRNA	NULL	99
-1782	MIR-640/640	37772	miRNA	NULL	96
-1781	MIR-639/639	37771	miRNA	NULL	98
-1780	MIR-638/638	37770	miRNA	NULL	100
-1779	MIR-637/637	37769	miRNA	NULL	99
-1778	MIR-636/636	37768	miRNA	NULL	99
-1777	MIR-635/635	37767	miRNA	NULL	98
-1776	MIR-634/634	37766	miRNA	NULL	97
-1775	MIR-633/633	37765	miRNA	NULL	98
-1774	MIR-632/632	37764	miRNA	NULL	94
-1773	MIR-631/631	37763	miRNA	NULL	75
-1772	MIR-630/630	37762	miRNA	NULL	97
-1771	MIR-629/629*	37761	miRNA	NULL	NULL
-1770	MIR-629/629	37760	miRNA	NULL	NULL
-1769	MIR-628/3P	37758	miRNA	NULL	NULL
-1768	MIR-628/5P	37759	miRNA	NULL	NULL
-1767	MIR-627/627	37757	miRNA	NULL	97
-1766	MIR-626/626	37756	miRNA	NULL	94
-1765	MIR-625/625*	37755	miRNA	NULL	NULL
-1764	MIR-625/625	37754	miRNA	NULL	NULL
-1763	MIR-624/624	37752	miRNA	NULL	NULL
-1762	MIR-624/624*	37753	miRNA	NULL	NULL
-1761	MIR-623/623	37751	miRNA	NULL	98
-1760	MIR-622/622	37750	miRNA	NULL	96
-1759	MIR-621/621	37749	miRNA	NULL	96
-1758	MIR-620/620	37748	miRNA	NULL	95
-1757	MIR-619/619	37747	miRNA	NULL	99
-1756	MIR-618/618	37746	miRNA	NULL	98
-1755	MIR-617/617	37745	miRNA	NULL	97
-1754	MIR-616/616	37743	miRNA	NULL	NULL
-1753	MIR-616/616*	37744	miRNA	NULL	NULL
-1752	MIR-615/3P	37741	miRNA	NULL	NULL
-1751	MIR-615/5P	37742	miRNA	NULL	NULL
-1750	MIR-614/614	37740	miRNA	NULL	90
-1749	MIR-613/613	37739	miRNA	NULL	95
-1748	MIR-612/612	37738	miRNA	NULL	100
-1747	MIR-611/611	37737	miRNA	NULL	67
-1746	MIR-610/610	37736	miRNA	NULL	96
-1745	MIR-609/609	37735	miRNA	NULL	95
-1744	MIR-608/608	37734	miRNA	NULL	100
-1743	MIR-607/607	37733	miRNA	NULL	96
-1742	MIR-606/606	37732	miRNA	NULL	96
-1741	MIR-605/605	37731	miRNA	NULL	83
-1740	MIR-604/604	37730	miRNA	NULL	94
-1739	MIR-603/603	37729	miRNA	NULL	97
-1738	MIR-602/602	37728	miRNA	NULL	98
-1737	MIR-601/601	37727	miRNA	NULL	79
-1736	MIR-600/600	37726	miRNA	NULL	98
-1735	MIR-599/599	37725	miRNA	NULL	95
-1734	MIR-598/598	37724	miRNA	NULL	97
-1733	MIR-597/597	37723	miRNA	NULL	97
-1732	MIR-596/596	37722	miRNA	NULL	77
-1731	MIR-595/595	37721	miRNA	NULL	96
-1730	MIR-593/593	37719	miRNA	NULL	NULL
-1729	MIR-593/593*	37720	miRNA	NULL	NULL
-1728	MIR-592/592	37718	miRNA	NULL	97
-1727	MIR-591/591	37717	miRNA	NULL	95
-1726	MIR-590/3P	37715	miRNA	NULL	NULL
-1725	MIR-590/5P	37716	miRNA	NULL	NULL
-1724	MIR-589/589*	37714	miRNA	NULL	NULL
-1723	MIR-589/589	37713	miRNA	NULL	NULL
-1722	MIR-588/588	37712	miRNA	NULL	83
-1721	MIR-587/587	37711	miRNA	NULL	96
-1720	MIR-586/586	37710	miRNA	NULL	97
-1719	MIR-585/585	37709	miRNA	NULL	94
-1718	MIR-584/584	37708	miRNA	NULL	97
-1717	MIR-583/583	37707	miRNA	NULL	75
-1716	MIR-582/3P	37705	miRNA	NULL	NULL
-1715	MIR-582/5P	37706	miRNA	NULL	NULL
-1714	MIR-581/581	37704	miRNA	NULL	96
-1713	MIR-580/580	37703	miRNA	NULL	97
-1712	MIR-579/579	37702	miRNA	NULL	98
-1711	MIR-578/578	37701	miRNA	NULL	96
-1710	MIR-577/577	37700	miRNA	NULL	96
-1709	MIR-576/3P	37698	miRNA	NULL	NULL
-1708	MIR-576/5P	37699	miRNA	NULL	NULL
-1707	MIR-575/575	37697	miRNA	NULL	94
-1706	MIR-574/3P	37695	miRNA	NULL	NULL
-1705	MIR-574/5P	37696	miRNA	NULL	NULL
-1704	MIR-573/573	37694	miRNA	NULL	99
-1703	MIR-572/572	37693	miRNA	NULL	95
-1702	MIR-571/571	37692	miRNA	NULL	96
-1701	MIR-570/570	37691	miRNA	NULL	97
-1700	MIR-569/569	37690	miRNA	NULL	96
-1699	MIR-568/568	37689	miRNA	NULL	95
-1698	MIR-567/567	37688	miRNA	NULL	98
-1697	MIR-566/566	37687	miRNA	NULL	94
-1696	MIR-564/564	37686	miRNA	NULL	94
-1695	MIR-563/563	37685	miRNA	NULL	79
-1694	MIR-562/562	37684	miRNA	NULL	95
-1693	MIR-561/561	37683	miRNA	NULL	97
-1692	MIR-559/559	37682	miRNA	NULL	96
-1691	MIR-558/558	37681	miRNA	NULL	94
-1690	MIR-557/557	37680	miRNA	NULL	98
-1689	MIR-556/3P	37678	miRNA	NULL	NULL
-1688	MIR-556/5P	37679	miRNA	NULL	NULL
-1687	MIR-555/555	37677	miRNA	NULL	96
-1686	MIR-554/554	37676	miRNA	NULL	96
-1685	MIR-553/553	37675	miRNA	NULL	68
-1684	MIR-552/552	37674	miRNA	NULL	96
-1683	MIR-551B/551B	37672	miRNA	NULL	NULL
-1682	MIR-551B/551B*	37673	miRNA	NULL	NULL
-1681	MIR-551A/551A	37671	miRNA	NULL	96
-1680	MIR-550B-2/550B	37670	miRNA	NULL	NULL
-1679	MIR-550B-1/550B	37669	miRNA	NULL	NULL
-1678	MIR-550A-3/550A*	37668	miRNA	NULL	NULL
-1677	MIR-550A-2/550A*	37667	miRNA	NULL	NULL
-1676	MIR-550A-2/550A	37666	miRNA	NULL	NULL
-1675	MIR-550A-1/550A*	37665	miRNA	NULL	NULL
-1674	MIR-550A-1/550A	37664	miRNA	NULL	NULL
-1673	MIR-549/549	37663	miRNA	NULL	96
-1672	MIR-548Z/548Z	37662	miRNA	NULL	NULL
-1671	MIR-548Y/548Y	37661	miRNA	NULL	110
-1670	MIR-548X-2/548X	37659	miRNA	NULL	NULL
-1669	MIR-548X/548X	37660	miRNA	NULL	NULL
-1668	MIR-548W/548W	37658	miRNA	NULL	74
-1667	MIR-548V/548V	37657	miRNA	NULL	80
-1666	MIR-548U/548U	37656	miRNA	NULL	81
-1665	MIR-548T/548T	37655	miRNA	NULL	74
-1664	MIR-548S/548S	37654	miRNA	NULL	82
-1663	MIR-548Q/548Q	37653	miRNA	NULL	100
-1662	MIR-548P/548P	37652	miRNA	NULL	84
-1661	MIR-548O-2/548O	37650	miRNA	NULL	NULL
-1660	MIR-548O/548O	37651	miRNA	NULL	NULL
-1659	MIR-548N/548N	37649	miRNA	NULL	75
-1658	MIR-548M/548M	37648	miRNA	NULL	86
-1657	MIR-548L/548L	37647	miRNA	NULL	86
-1656	MIR-548K/548K	37646	miRNA	NULL	116
-1655	MIR-548J/548J	37645	miRNA	NULL	112
-1654	MIR-548I-4/548I	37644	miRNA	NULL	NULL
-1653	MIR-548I-3/548I	37643	miRNA	NULL	NULL
-1652	MIR-548I-2/548I	37642	miRNA	NULL	NULL
-1651	MIR-548I-1/548I	37641	miRNA	NULL	NULL
-1650	MIR-548H-5/548H	37640	miRNA	NULL	NULL
-1649	MIR-548H-4/548H	37639	miRNA	NULL	NULL
-1648	MIR-548H-3/548H	37638	miRNA	NULL	NULL
-1647	MIR-548H-2/548H	37637	miRNA	NULL	NULL
-1646	MIR-548H-1/548H	37636	miRNA	NULL	NULL
-1645	MIR-548G/548G	37635	miRNA	NULL	89
-1644	MIR-548F-5/548F	37634	miRNA	NULL	NULL
-1643	MIR-548F-4/548F	37633	miRNA	NULL	NULL
-1642	MIR-548F-3/548F	37632	miRNA	NULL	NULL
-1641	MIR-548F-2/548F	37631	miRNA	NULL	NULL
-1640	MIR-548F-1/548F	37630	miRNA	NULL	NULL
-1639	MIR-548E/548E	37629	miRNA	NULL	88
-1638	MIR-548D-2/3P	37627	miRNA	NULL	NULL
-1637	MIR-548D-2/5P	37628	miRNA	NULL	NULL
-1636	MIR-548D-1/3P	37625	miRNA	NULL	NULL
-1635	MIR-548D-1/5P	37626	miRNA	NULL	NULL
-1634	MIR-548C/3P	37623	miRNA	NULL	NULL
-1633	MIR-548C/5P	37624	miRNA	NULL	NULL
-1632	MIR-548B/3P	37621	miRNA	NULL	NULL
-1631	MIR-548B/5P	37622	miRNA	NULL	NULL
-1630	MIR-548AN/548AN	37620	miRNA	NULL	83
-1629	MIR-548AM/548AM	37619	miRNA	NULL	74
-1628	MIR-548AL/548AL	37618	miRNA	NULL	97
-1627	MIR-548AK/548AK	37617	miRNA	NULL	57
-1626	MIR-548AJ-2/548AJ	37616	miRNA	NULL	NULL
-1625	MIR-548AJ-1/548AJ	37615	miRNA	NULL	NULL
-1624	MIR-548AI/548AI	37614	miRNA	NULL	88
-1623	MIR-548AH/548AH	37613	miRNA	NULL	76
-1622	MIR-548AG-2/548AG	37612	miRNA	NULL	NULL
-1621	MIR-548AG-1/548AG	37611	miRNA	NULL	NULL
-1620	MIR-548AE-2/548AE	37610	miRNA	NULL	NULL
-1619	MIR-548AE-1/548AE	37609	miRNA	NULL	NULL
-1618	MIR-548AD/548AD	37608	miRNA	NULL	82
-1617	MIR-548AC/548AC	37607	miRNA	NULL	88
-1616	MIR-548AB/548AB	37606	miRNA	NULL	84
-1615	MIR-548AA-2/548AA	37605	miRNA	NULL	NULL
-1614	MIR-548AA-1/548AA	37604	miRNA	NULL	NULL
-1613	MIR-548A-3/3P	37602	miRNA	NULL	NULL
-1612	MIR-548A-3/5P	37603	miRNA	NULL	NULL
-1611	MIR-548A-2/3P	37601	miRNA	NULL	NULL
-1610	MIR-548A-1/3P	37600	miRNA	NULL	NULL
-1609	MIR-545/545	37598	miRNA	NULL	NULL
-1608	MIR-545/545*	37599	miRNA	NULL	NULL
-1607	MIR-544B/544B	37597	miRNA	NULL	78
-1606	MIR-544/544	37596	miRNA	NULL	NULL
-1605	MIR-543/543	37595	miRNA	NULL	78
-1604	MIR-542/3P	37593	miRNA	NULL	NULL
-1603	MIR-542/5P	37594	miRNA	NULL	NULL
-1602	MIR-541/541	37591	miRNA	NULL	NULL
-1601	MIR-541/541*	37592	miRNA	NULL	NULL
-1600	MIR-539/539	37590	miRNA	NULL	78
-1599	MIR-532/3P	37588	miRNA	NULL	NULL
-1598	MIR-532/5P	37589	miRNA	NULL	NULL
-1597	MIR-527/527	37587	miRNA	NULL	85
-1596	MIR-526B/526B*	37586	miRNA	NULL	NULL
-1595	MIR-526B/526B	37585	miRNA	NULL	NULL
-1594	MIR-526A-2/526A	37584	miRNA	NULL	NULL
-1593	MIR-526A-1/526A	37583	miRNA	NULL	NULL
-1592	MIR-525/3P	37581	miRNA	NULL	NULL
-1591	MIR-525/5P	37582	miRNA	NULL	NULL
-1590	MIR-524/3P	37579	miRNA	NULL	NULL
-1589	MIR-524/5P	37580	miRNA	NULL	NULL
-1588	MIR-523/523	37577	miRNA	NULL	NULL
-1587	MIR-523/523*	37578	miRNA	NULL	NULL
-1586	MIR-522/522	37575	miRNA	NULL	NULL
-1585	MIR-522/522*	37576	miRNA	NULL	NULL
-1584	MIR-521-2/521	37574	miRNA	NULL	87
-1583	MIR-521-1/521	37573	miRNA	NULL	87
-1582	MIR-520H/520H	37572	miRNA	NULL	88
-1581	MIR-520G/520G	37571	miRNA	NULL	90
-1580	MIR-520F/520F	37570	miRNA	NULL	87
-1579	MIR-520E/520E	37569	miRNA	NULL	87
-1578	MIR-520D/3P	37567	miRNA	NULL	NULL
-1577	MIR-520D/5P	37568	miRNA	NULL	NULL
-1576	MIR-520C/3P	37565	miRNA	NULL	NULL
-1575	MIR-520C/5P	37566	miRNA	NULL	NULL
-1574	MIR-520B/520B	37564	miRNA	NULL	61
-1573	MIR-520A/3P	37562	miRNA	NULL	NULL
-1572	MIR-520A/5P	37563	miRNA	NULL	NULL
-1571	MIR-519E/519E	37560	miRNA	NULL	NULL
-1570	MIR-519E/519E*	37561	miRNA	NULL	NULL
-1569	MIR-519D/519D	37559	miRNA	NULL	88
-1568	MIR-519C/3P	37557	miRNA	NULL	NULL
-1567	MIR-519C/5P	37558	miRNA	NULL	NULL
-1566	MIR-519B/3P	37555	miRNA	NULL	NULL
-1565	MIR-519B/5P	37556	miRNA	NULL	NULL
-1564	MIR-519A-2/519A	37554	miRNA	NULL	2239
-1563	MIR-519A-1/519A	37552	miRNA	NULL	NULL
-1562	MIR-519A-1/519A*	37553	miRNA	NULL	NULL
-1561	MIR-518F/518F	37550	miRNA	NULL	NULL
-1560	MIR-518F/518F*	37551	miRNA	NULL	NULL
-1559	MIR-518E/518E	37548	miRNA	NULL	NULL
-1558	MIR-518E/518E*	37549	miRNA	NULL	NULL
-1557	MIR-518D/3P	37546	miRNA	NULL	NULL
-1556	MIR-518D/5P	37547	miRNA	NULL	NULL
-1555	MIR-518C/518C	37544	miRNA	NULL	NULL
-1554	MIR-518C/518C*	37545	miRNA	NULL	NULL
-1553	MIR-518B/518B	37543	miRNA	NULL	83
-1552	MIR-518A-2/3P	37541	miRNA	NULL	NULL
-1551	MIR-518A-2/5P	37542	miRNA	NULL	NULL
-1550	MIR-518A-1/3P	37539	miRNA	NULL	NULL
-1549	MIR-518A-1/5P	37540	miRNA	NULL	NULL
-1548	MIR-517C/517*	37537	miRNA	NULL	NULL
-1547	MIR-517C/517C	37538	miRNA	NULL	NULL
-1546	MIR-517B/517*	37535	miRNA	NULL	NULL
-1545	MIR-517B/517B	37536	miRNA	NULL	NULL
-1544	MIR-517A/517A	37534	miRNA	NULL	NULL
-1543	MIR-517A/517*	37533	miRNA	NULL	NULL
-1542	MIR-516B-2/516B*	37532	miRNA	NULL	NULL
-1541	MIR-516B-2/516B	37531	miRNA	NULL	NULL
-1540	MIR-516B-1/516B*	37530	miRNA	NULL	NULL
-1539	MIR-516B-1/516B	37529	miRNA	NULL	NULL
-1538	MIR-516A-2/3P	37527	miRNA	NULL	NULL
-1537	MIR-516A-2/5P	37528	miRNA	NULL	NULL
-1536	MIR-516A-1/3P	37525	miRNA	NULL	NULL
-1535	MIR-516A-1/5P	37526	miRNA	NULL	NULL
-1534	MIR-515-2/3P	37523	miRNA	NULL	NULL
-1533	MIR-515-2/5P	37524	miRNA	NULL	NULL
-1532	MIR-515-1/3P	37521	miRNA	NULL	NULL
-1531	MIR-515-1/5P	37522	miRNA	NULL	NULL
-1530	MIR-514B/3P	37519	miRNA	NULL	NULL
-1529	MIR-514B/5P	37520	miRNA	NULL	NULL
-1528	MIR-514-3/514	37518	miRNA	NULL	NULL
-1527	MIR-514-2/514	37517	miRNA	NULL	NULL
-1526	MIR-514-1/514	37516	miRNA	NULL	NULL
-1525	MIR-513C/513C	37515	miRNA	NULL	84
-1524	MIR-513B/513B	37514	miRNA	NULL	84
-1523	MIR-513A-2/3P	37512	miRNA	NULL	NULL
-1522	MIR-513A-2/5P	37513	miRNA	NULL	NULL
-1521	MIR-513A-1/3P	37510	miRNA	NULL	NULL
-1520	MIR-513A-1/5P	37511	miRNA	NULL	NULL
-1519	MIR-512-2/3P	37508	miRNA	NULL	NULL
-1518	MIR-512-2/5P	37509	miRNA	NULL	NULL
-1517	MIR-512-1/3P	37506	miRNA	NULL	NULL
-1516	MIR-512-1/5P	37507	miRNA	NULL	NULL
-1515	MIR-511-2/511	37505	miRNA	NULL	87
-1514	MIR-511-1/511	37504	miRNA	NULL	87
-1513	MIR-510/510	37503	miRNA	NULL	74
-1512	MIR-5096/5096	37502	miRNA	NULL	70
-1511	MIR-5095/5095	37501	miRNA	NULL	88
